FIPS,Percent_change_fast_food_restaurants_2011_2016,FIPS,Percent_change_convenience_stores_2011_2016,FIPS,Metro_nonmetro_counties_2010,FIPS,Persistent_poverty_counties_2010,FIPS,Population_loss_counties_2010,FIPS,Recreation_fitness_facilities_2011,FIPS,Grocery_stores_2011,FIPS,Low_access_to_stores_2010,FIPS,SNAP_benefits_per_capita_2012,FIPS,WIC_redemptions_per_capita_2011
1121,10.596805198,1121,13.377524871,1121,0,1121,0,1121,0.0,1121,0.0244523,1121,0.13448748,1121,12352.3594900543,1121,27.776424407958984,1121,22.16517448425293
1123,-9.750655023,1123,-14.982501109,1123,0,1123,0,1123,0.0,1123,0.0241581,1123,0.144948543,1123,4597.92267985651,1123,27.901639938354492,1123,25.838333129882812
1125,3.857359448,1125,13.012643246,1125,1,1125,0,1125,0.0,1125,0.066090829,1125,0.137265568,1125,39478.4576159633,1125,18.678529739379883,1125,18.483631134033203
1127,-5.29554552,1127,-8.551631586,1127,1,1127,0,1127,0.0,1127,0.090121213,1127,0.150202022,1127,7529.76094031017,1127,24.97452735900879,1127,27.266016006469727
1129,-30.493812327,1129,15.843646121,1129,0,1129,0,1129,0.0,1129,0.0,1129,0.172860847,1129,1708.30048288829,1129,24.786075592041016,1129,14.48908805847168
1131,-36.882758621,1131,35.251231527,1131,0,1131,1,1131,1.0,1131,0.0,1131,0.786713287,1131,5173.2205787992,1131,56.26805877685547,1131,33.28605651855469
1133,-6.541214887,1133,11.223678151,1133,0,1133,0,1133,0.0,1133,0.0,1133,0.36954915,1133,1011.26440646558,1133,19.977121353149414,1133,28.492746353149414
2013,-1.865222623,2013,0.0,2013,0,2013,0,2013,0.0,2013,0.0,2013,1.22624157,2013,1226.05047095926,2013,11.475988388061523,2013,
2016,-100.0,2016,-51.392030625,2016,0,2016,0,2016,0.0,2016,0.0,2016,0.536960802,2016,764.476579713432,2016,6.9139275550842285,2016,7.28776216506958
2020,3.105022611,2020,-15.310129264,2020,1,2020,0,2020,0.0,2020,0.118127112,2020,0.108001931,2020,87979.2776216285,2020,15.65752124786377,2020,22.316598892211914
2050,-16.974416018,2050,-19.28068224,2050,0,2050,0,2050,0.0,2050,0.0,2050,1.320624713,2050,13272.6551392976,2050,91.87622833251953,2050,59.83818435668945
2060,0.0,2060,-100.0,2060,0,2060,0,2060,1.0,2060,0.0,2060,2.912621359,2060,434.142569632132,2060,17.006803512573242,2060,
2068,174.327628362,2068,-8.557457213,2068,0,2068,0,2068,0.0,2068,0.0,2068,0.0,2068,1826.00001354376,2068,10.520341873168945,2068,
2070,-0.562700965,2070,-50.281350482,2070,0,2070,0,2070,0.0,2070,0.0,2070,1.212611156,2070,1578.58470202942,2070,60.93949890136719,2070,81.95877075195312
2090,-0.182667782,2090,6.416825257,2090,1,2090,0,2090,0.0,2090,0.071329583,2090,0.081519524,2090,36249.0366975532,2090,11.350651741027832,2090,24.87321662902832
2100,1.698933228,2100,0.0,2100,0,2100,0,2100,0.0,2100,0.0,2100,1.165501166,2100,519.235722120567,2100,12.2510986328125,2100,
2105,0.0,2105,0.0,2105,0,2105,0,2105,1.0,2105,0.0,2105,0.0,2105,1694.91624449712,2105,32.48719024658203,2105,
2110,20.826227837,2110,38.950162012,2110,0,2110,0,2110,0.0,2110,0.186555562,2110,0.186555562,2110,10138.1580666263,2110,15.609404563903809,2110,12.171093940734863
2122,28.233947697,2122,-13.442085305,2122,0,2122,0,2122,0.0,2122,0.159846547,2122,0.337453822,2122,11289.6882833852,2122,14.848005294799805,2122,17.649709701538086
2130,56.192696354,2130,-40.362788665,2130,0,2130,0,2130,0.0,2130,0.366461448,2130,0.219876869,2130,1036.07420774893,2130,24.81143569946289,2130,
2150,21.236932524,2150,1.030777104,2150,0,2150,0,2150,0.0,2150,0.0,2150,0.361794501,2150,1415.66110175697,2150,12.173283576965332,2150,
2164,0.0,2164,,2164,0,2164,0,2164,0.0,2164,0.0,2164,0.0,2164,1630.99999340266,2164,46.346893310546875,2164,
2170,-14.291699188,2170,-25.124276097,2170,1,2170,0,2170,0.0,2170,0.0763184,2170,0.130831543,2170,20435.7280998136,2170,17.644987106323242,2170,17.268110275268555
2180,-67.137334006,2180,-50.706001009,2180,0,2180,0,2180,0.0,2180,0.0,2180,1.534526854,2180,5066.0670361472,2180,84.85295867919922,2180,81.23099517822266
2185,-1.404233351,2185,-1.404233351,2185,0,2185,0,2185,0.0,2185,0.104723008,2185,1.047230076,2185,3628.63366354111,2185,28.889806747436523,2185,53.7893180847168
2188,201.683633516,2188,-32.959192552,2188,0,2188,0,2188,0.0,2188,0.0,2188,0.908500973,2188,4322.33707295874,2188,80.24090576171875,2188,124.9030532836914
2195,0.0,2195,0.0,2195,0,2195,0,2195,0.0,2195,0.0,2195,0.0,2195,183.34368153391,2195,22.135814666748047,2195,
2198,0.0,2198,0.0,2198,0,2198,0,2198,0.0,2198,0.0,2198,0.0,2198,1390.57968947828,2198,32.19696807861328,2198,29.301536560058594
2220,35.158150852,2220,-32.420924574,2220,0,2220,0,2220,0.0,2220,0.225022502,2220,0.337533753,2220,1617.31281169213,2220,15.517623901367188,2220,
2230,0.0,2230,0.0,2230,0,2230,0,2230,1.0,2230,0.0,2230,0.0,2230,2.99995376171291,2230,29.529529571533203,2230,
2240,-37.289473684,2240,4.51754386,2240,0,2240,0,2240,0.0,2240,0.0,2240,0.559518814,2240,2043.27814081922,2240,25.062744140625,2240,
