FIPS,State,County,Predicted_change_obese
39055,Ohio,Geauga,2.258386154089513
39057,Ohio,Greene,0.3671210789092543
39059,Ohio,Guernsey,2.9213065672846525
39061,Ohio,Hamilton,0.1608628014912311
39063,Ohio,Hancock,1.0302591553421445
39065,Ohio,Hardin,3.1734505042678434
39067,Ohio,Harrison,3.1215360340418803
39069,Ohio,Henry,1.056481042998386
39071,Ohio,Highland,2.546690762470359
39073,Ohio,Hocking,1.5014972519724927
39075,Ohio,Holmes,2.504338399485258
39077,Ohio,Huron,1.1258726189420771
39079,Ohio,Jackson,2.99471674721335
39081,Ohio,Jefferson,2.6919779181146177
39083,Ohio,Knox,2.521804284924071
39085,Ohio,Lake,0.0032602723407924583
39087,Ohio,Lawrence,2.078003066527219
39089,Ohio,Licking,1.3612690689215978
39091,Ohio,Logan,1.5489651529913875
39093,Ohio,Lorain,0.049832044690133526
39095,Ohio,Lucas,1.3017226477826578
39097,Ohio,Madison,2.848304364587701
39099,Ohio,Mahoning,2.3542449190634294
39101,Ohio,Marion,2.396414492843226
39103,Ohio,Medina,0.601756743855437
39105,Ohio,Meigs,3.7871789981808712
39107,Ohio,Mercer,1.3727139307568366
39109,Ohio,Miami,1.49446304459429
39111,Ohio,Monroe,2.2695346270599552
39113,Ohio,Montgomery,0.5161080789960922
39115,Ohio,Morgan,4.302926970606914
39117,Ohio,Morrow,2.704035250056201
39119,Ohio,Muskingum,3.111630652526364
39121,Ohio,Noble,2.095387065386209
39123,Ohio,Ottawa,1.3809029245985394
39125,Ohio,Paulding,2.8936687572198534
39127,Ohio,Perry,3.0626491585519324
39129,Ohio,Pickaway,1.9840996272829194
39131,Ohio,Pike,3.8472597040931666
39133,Ohio,Portage,0.8343090402018492
39135,Ohio,Preble,2.1727967021228523
39137,Ohio,Putnam,0.3156476147764721
39139,Ohio,Richland,2.840028873167603
39141,Ohio,Ross,2.4802396661766535
39143,Ohio,Sandusky,2.1324501270179463
39145,Ohio,Scioto,3.1797640633732183
39147,Ohio,Seneca,2.871827338551998
39149,Ohio,Shelby,1.3764373934430048
39151,Ohio,Stark,0.5186981445671425
39153,Ohio,Summit,0.006726199401306698
39155,Ohio,Trumbull,2.90964846525069
39157,Ohio,Tuscarawas,2.37381973676683
39159,Ohio,Union,0.8952172241811172
39161,Ohio,Van Wert,2.4273381905253344
39163,Ohio,Vinton,2.9466800663141006
39165,Ohio,Warren,-0.125545000412411
39167,Ohio,Washington,1.8379470747928772
39169,Ohio,Wayne,0.8368648786779416
39171,Ohio,Williams,1.8436762569935072
39173,Ohio,Wood,0.5143056719896448
39175,Ohio,Wyandot,1.5171798983730498
49001,Utah,Beaver,-0.3721736321988809
49003,Utah,Box Elder,1.3332588536433336
49005,Utah,Cache,-0.43569782572904714
49007,Utah,Carbon,2.596873688093513
49011,Utah,Davis,-1.8631503263103464
49013,Utah,Duchesne,1.7658819587089825
49015,Utah,Emery,-1.5074187913681123
49017,Utah,Garfield,2.7198001158477947
49019,Utah,Grand,0.3933094112084862
49021,Utah,Iron,-0.6099501705517039
49023,Utah,Juab,2.2313653802246765
49025,Utah,Kane,0.09087232108390578
49027,Utah,Millard,6.699835112456732
49029,Utah,Morgan,1.6112506002518527
49031,Utah,Piute,-2.1628061440546027
49033,Utah,Rich,2.661128166801708
49035,Utah,Salt Lake,1.392852613136421
49037,Utah,San Juan,0.34299420728176605
49039,Utah,Sanpete,-0.5837057596514565
49041,Utah,Sevier,3.960207734734808
49043,Utah,Summit,0.6302662722444032
49045,Utah,Tooele,0.3100110318721565
49047,Utah,Uintah,0.17228339974628715
49049,Utah,Utah,-1.3171940328151972
49051,Utah,Wasatch,-0.4861778645742947
49053,Utah,Washington,2.541200969017593
49055,Utah,Wayne,-1.0373242947359191
49057,Utah,Weber,2.5260448095248114
38001,North Dakota,Adams,4.111141274433091
38003,North Dakota,Barnes,2.5311439039013566
38005,North Dakota,Benson,4.05331320849341
38007,North Dakota,Billings,3.549476270403705
38009,North Dakota,Bottineau,3.600872353630212
38011,North Dakota,Bowman,3.8944019210547083
38015,North Dakota,Burleigh,4.469030897194266
38017,North Dakota,Cass,0.8609187397399594
38019,North Dakota,Cavalier,3.6955781805376517
38021,North Dakota,Dickey,3.467388961767405
38025,North Dakota,Dunn,1.5874869109492735
38027,North Dakota,Eddy,3.7561472950953387
38029,North Dakota,Emmons,3.4544113996465846
38031,North Dakota,Foster,3.635140331650266
38033,North Dakota,Golden Valley,3.5264095015407726
38035,North Dakota,Grand Forks,1.060458096714036
38037,North Dakota,Grant,3.116325376777297
38039,North Dakota,Griggs,3.4531197956376047
38041,North Dakota,Hettinger,2.787436473187171
38045,North Dakota,LaMoure,2.8381589929042264
38047,North Dakota,Logan,3.461314312878603
38049,North Dakota,McHenry,2.393349877182672
38051,North Dakota,McIntosh,3.2163558554932337
38055,North Dakota,McLean,2.1011068902350267
